experiment_id,model,strategy,augmentation,data,max_epochs,status,timestamp,val_acc,val_f1_macro,test_acc,test_f1_macro,best_epoch,final_train_loss,final_val_loss,total_params,trainable_params,param_efficiency,training_time_seconds,avg_epoch_time,error
ast_lora_noaug_tiny_20260201_102512,ast,lora,False,tiny,5,failed,2026-02-01T10:25:12.829819,,,,,,,,,,,10.333749055862427,,Training failed with return code 1
efficientat_ia3_aug_tiny_20260201_115948,efficientat,ia3,True,tiny,5,failed,2026-02-01T11:59:48.275495,,,,,,,,,,,3.5931437015533447,,Training failed with return code 1
beats_adalora_noaug_tiny_20260201_145139,beats,adalora,False,tiny,5,completed,2026-02-01T14:51:39.324230,,,0.0,0.0,,,,,,,134.53402400016785,26.90678400993347,
ast_lora_noaug_tiny_20260201_130455,ast,lora,False,tiny,5,completed,2026-02-01T13:04:55.724521,,,0.4000000059604645,0.2857142984867096,,,,,,,1137.0238642692566,227.40432844161987,
efficientat_lora_noaug_tiny_20260201_145908,efficientat,lora,False,tiny,5,completed,2026-02-01T14:59:08.375106,,,0.0,0.0,,,,,,,46.59606885910034,9.319192361831664,
htsat_lora_aug_tiny_20260201_115842,htsat,lora,True,tiny,5,failed,2026-02-01T11:58:42.831299,,,,,,,,,,,4.43713903427124,,Training failed with return code 1
beats_ia3_aug_tiny_20260201_115925,beats,ia3,True,tiny,5,failed,2026-02-01T11:59:25.413302,,,,,,,,,,,4.2336649894714355,,Training failed with return code 1
ast_adalora_aug_tiny_20260201_132352,ast,adalora,True,tiny,5,completed,2026-02-01T13:23:52.783691,,,0.0,0.0,,,,,,,1059.1945168972015,211.83839359283448,
htsat_ia3_noaug_tiny_20260201_115904,htsat,ia3,False,tiny,5,failed,2026-02-01T11:59:04.181227,,,,,,,,,,,4.234364986419678,,Training failed with return code 1
htsat_ia3_aug_tiny_20260201_115859,htsat,ia3,True,tiny,5,failed,2026-02-01T11:58:59.932617,,,,,,,,,,,4.239588975906372,,Training failed with return code 1
ast_lora_aug_tiny_20260201_102500,ast,lora,True,tiny,5,failed,2026-02-01T10:25:00.169508,,,,,,,,,,,12.650842905044556,,Training failed with return code 1
beats_adalora_aug_tiny_20260201_115917,beats,adalora,True,tiny,5,failed,2026-02-01T11:59:17.007914,,,,,,,,,,,4.196004152297974,,Training failed with return code 1
htsat_adalora_aug_tiny_20260201_144133,htsat,adalora,True,tiny,5,completed,2026-02-01T14:41:33.670615,,,0.0,0.0,,,,,,,52.271738052368164,10.45432744026184,
beats_lora_noaug_tiny_20260201_115912,beats,lora,False,tiny,5,failed,2026-02-01T11:59:12.675732,,,,,,,,,,,4.3233771324157715,,Training failed with return code 1
ast_lora_aug_tiny_20260201_103137,ast,lora,True,tiny,5,completed,2026-02-01T10:31:37.202933,,,0.0,0.0,,,,,,,863.7179162502289,172.74302024841307,
efficientat_adalora_aug_tiny_20260201_145954,efficientat,adalora,True,tiny,5,completed,2026-02-01T14:59:54.981540,,,0.0,0.0,,,,,,,47.28860282897949,9.457698345184326,
efficientat_ia3_noaug_tiny_20260201_150132,efficientat,ia3,False,tiny,5,failed,2026-02-01T15:01:32.514956,,,,,,,,,,,3.3697750568389893,,Training failed with return code 1
beats_lora_noaug_tiny_20260201_144710,beats,lora,False,tiny,5,completed,2026-02-01T14:47:10.401151,,,0.0,0.0,,,,,,,134.16249012947083,26.832480001449586,
beats_lora_aug_tiny_20260201_115908,beats,lora,True,tiny,5,failed,2026-02-01T11:59:08.424292,,,,,,,,,,,4.243083953857422,,Training failed with return code 1
efficientat_lora_aug_tiny_20260201_115933,efficientat,lora,True,tiny,5,failed,2026-02-01T11:59:33.842172,,,,,,,,,,,3.5418272018432617,,Training failed with return code 1
beats_ia3_noaug_tiny_20260201_145607,beats,ia3,False,tiny,5,completed,2026-02-01T14:56:07.859272,,,0.0,0.0,,,,,,,133.94655513763428,26.78928985595703,
